id,title,area,severity,impact,routes,component,source_location,evidence_type,evidence_ref,environment,reproduction,cause,confidence,effort,effortRationale,dependency,candidate_fix,acceptance_test,verification,observed,intended,requirement
"KO-UX-001","Filters run after pagination and can conceal matching records","Review Queue; Inbox","High","Review search/document/risk and Inbox search filter only the fetched first 50 rows. An empty filtered page suppresses pagination even when the lookahead says later rows exist.","/dashboard/inbox; /dashboard/review-queue","src/app/(dashboard)/dashboard/review-queue/page.tsx; src/app/(dashboard)/dashboard/inbox/page.tsx","src/app/(dashboard)/dashboard/review-queue/page.tsx:202; src/app/(dashboard)/dashboard/inbox/page.tsx:141","CODE_INSPECTED; isolated synthetic illustration in local-diagnostics.json","evidence/source-inventory.json; cited source","Local checkout main @ 59b903f; hosted mutation behavior not exercised","Inspect the cited route/component under the described condition; reproduce with authorized synthetic fixtures before implementation acceptance.","Client-side array predicates are downstream of the server range and lookahead.","High for source behavior; runtime state not induced","L","Crosses query/workflow/provenance contracts and requires representative regression fixtures.","Query/RPC design review and multi-page fixture coverage; clients search already runs in SQL.","Move all supported predicates before pagination; preserve stable ordering, escaping, tenant scope and URL parameters. Do not remove the row bound.","With 51+ synthetic records and a sole match beyond row 50, search finds it; risk/document/status combinations paginate without omissions.","Source verified; end-to-end mutation/failure-state verification BLOCKED without disposable fixtures.","Review search/document/risk and Inbox search filter only the fetched first 50 rows. An empty filtered page suppresses pagination even when the lookahead says later rows exist.","Search and pagination must describe the same complete firm-scoped result set.","docs/PRD.md (CA-reviewed, traceable operations); docs/Design.md and docs/UI-UX-Design-Brief.md (dense, accessible operational UI); supplied diagnosis sections 6–10; specific intended behavior stated above"
"KO-UX-002","Approval ignores unsaved field edits","Review detail","High","The edit form and decision forms are independent. Approve submits transaction_id, while edited uncontrolled fields remain only in the separate Save form.","/dashboard/review-queue/[transactionId]","src/app/(dashboard)/dashboard/review-queue/[transactionId]/page.tsx; src/app/(dashboard)/dashboard/review-queue/[transactionId]/page.tsx; src/components/transaction-review-form.tsx","src/app/(dashboard)/dashboard/review-queue/[transactionId]/page.tsx:10; src/app/(dashboard)/dashboard/review-queue/[transactionId]/page.tsx:193; src/components/transaction-review-form.tsx:3","CODE_INSPECTED","evidence/source-inventory.json; cited source","Local checkout main @ 59b903f; hosted mutation behavior not exercised","Inspect the cited route/component under the described condition; reproduce with authorized synthetic fixtures before implementation acceptance.","No shared dirty/pending state ties the field editor to decisions.","High for source behavior; runtime state not induced","L","Crosses query/workflow/provenance contracts and requires representative regression fixtures.","Review form state ownership; approval/retry/ledger/audit regression fixtures.","Expose unsaved changes and require a successful explicit save before decisions; retain atomic approval RPC and posted immutability. Do not silently combine save and approve without product approval.","Edit an amount without saving: approval is disabled or clearly intercepted; save failure retains values; after save, approval uses precisely the displayed persisted values.","Source verified; end-to-end mutation/failure-state verification BLOCKED without disposable fixtures.","The edit form and decision forms are independent. Approve submits transaction_id, while edited uncontrolled fields remain only in the separate Save form.","The reviewer must know which persisted values will be approved and handed to Ledger.","docs/PRD.md (CA-reviewed, traceable operations); docs/Design.md and docs/UI-UX-Design-Brief.md (dense, accessible operational UI); supplied diagnosis sections 6–10; specific intended behavior stated above"
"KO-UX-003","Original document is unavailable beside extracted fields","Review detail; source provenance","High","The evidence rail renders source_text in a pre block or a storage-path fallback. No private image/PDF/audio preview or original-file link is rendered.","/dashboard/review-queue/[transactionId]","src/app/(dashboard)/dashboard/review-queue/[transactionId]/page.tsx; src/app/(dashboard)/dashboard/review-queue/[transactionId]/page.tsx","src/app/(dashboard)/dashboard/review-queue/[transactionId]/page.tsx:90; src/app/(dashboard)/dashboard/review-queue/[transactionId]/page.tsx:180","CODE_INSPECTED","evidence/source-inventory.json; cited source","Local checkout main @ 59b903f; hosted mutation behavior not exercised","Inspect the cited route/component under the described condition; reproduce with authorized synthetic fixtures before implementation acceptance.","Existing document metadata is read but no private-media presentation contract is wired.","High for source behavior; runtime state not induced","L","Crosses query/workflow/provenance contracts and requires representative regression fixtures.","Private document delivery contract and source-media fixtures; not a cosmetic-only change.","Add an authorized, short-lived original preview/download path with MIME-specific fallback; keep text, normalized output, raw output and source files intact.","Authorized image/PDF/text/audio fixtures have usable evidence or a precise unavailable state; foreign-firm files remain denied and signed URLs never enter logs.","Source verified; end-to-end mutation/failure-state verification BLOCKED without disposable fixtures.","The evidence rail renders source_text in a pre block or a storage-path fallback. No private image/PDF/audio preview or original-file link is rendered.","CA reviewers must compare the retained source with AI draft fields before deciding.","docs/PRD.md (CA-reviewed, traceable operations); docs/Design.md and docs/UI-UX-Design-Brief.md (dense, accessible operational UI); supplied diagnosis sections 6–10; specific intended behavior stated above"
"KO-UX-004","Date defaults and date filters disagree with India calendar days","GST generation; Exports; Audit Logs","High","Local midnight converted through toISOString yields previous-day month boundaries in Asia/Kolkata. Audit timestamps are filtered using UTC midnight although displayed in India time.","/dashboard/audit-logs; /dashboard/exports; /dashboard/gst-summary","src/components/gst-summary-form.tsx; src/components/export-form.tsx; src/app/(dashboard)/dashboard/audit-logs/page.tsx","src/components/gst-summary-form.tsx:30; src/components/export-form.tsx:50; src/app/(dashboard)/dashboard/audit-logs/page.tsx:99","CODE_INSPECTED; isolated Chromium expression verified in UTC and Asia/Kolkata","evidence/local-diagnostics.json","Local checkout main @ 59b903f; hosted mutation behavior not exercised","Inspect the cited route/component under the described condition; reproduce with authorized synthetic fixtures before implementation acceptance.","Calendar-only strings and timezone-bearing instants use the same UTC conversion pattern.","High for source behavior; runtime state not induced","M","Shared or multi-route UI change requiring coordinated states and regression checks.","Agree timestamp filter zone; reuse format.ts display semantics. Do not alter tax calculations.","Centralize date-only period construction; translate India day boundaries explicitly for timestamp queries. Keep accounting aggregation rules unchanged.","September 2026 defaults are 01 Sep–30 Sep in UTC and India clients; audit events at 00:01 and 23:59 IST fall in the selected day.","local-diagnostics.json: India gives 2026-08-31 / 2026-09-29; UTC gives 2026-09-01 / 2026-09-30. Form submission not exercised.","Local midnight converted through toISOString yields previous-day month boundaries in Asia/Kolkata. Audit timestamps are filtered using UTC midnight although displayed in India time.","Date-only reporting periods must remain calendar dates; displayed and filtered timestamp days must use one documented zone.","docs/PRD.md (CA-reviewed, traceable operations); docs/Design.md and docs/UI-UX-Design-Brief.md (dense, accessible operational UI); supplied diagnosis sections 6–10; specific intended behavior stated above"
"KO-UX-005","Read failures can masquerade as zero workload or missing records","Overview; Reports; Operations; detail screens","High","Several count results use count ?? 0 without handling their errors; detail .single() errors are discarded before notFound. Secondary query failures can appear as empty histories.","/dashboard/clients/[clientId]; /dashboard/operations; /dashboard; /dashboard/reports","src/app/(dashboard)/dashboard/page.tsx; src/app/(dashboard)/dashboard/reports/page.tsx; src/app/(dashboard)/dashboard/operations/page.tsx; src/app/(dashboard)/dashboard/clients/[clientId]/page.tsx","src/app/(dashboard)/dashboard/page.tsx:150; src/app/(dashboard)/dashboard/reports/page.tsx:38; src/app/(dashboard)/dashboard/operations/page.tsx:355; src/app/(dashboard)/dashboard/clients/[clientId]/page.tsx:90","CODE_INSPECTED","evidence/source-inventory.json; cited source","Local checkout main @ 59b903f; hosted mutation behavior not exercised","Inspect the cited route/component under the described condition; reproduce with authorized synthetic fixtures before implementation acceptance.","Supabase resolved error objects are collapsed into normal empty/default values.","High for source behavior; runtime state not induced","L","Crosses query/workflow/provenance contracts and requires representative regression fixtures.","Read-only failure fixtures or mocked server responses; preserve fail-closed access semantics.","Handle each read result explicitly; render unavailable states with safe retry and preserve successful sibling panels. Reserve 404 for confirmed absence/access result.","Injected count, picker, detail and history errors never show healthy zero or a false empty onboarding state; retry restores content without exposing database messages.","Source verified; end-to-end mutation/failure-state verification BLOCKED without disposable fixtures.","Several count results use count ?? 0 without handling their errors; detail .single() errors are discarded before notFound. Secondary query failures can appear as empty histories.","Unavailable, absent and zero are distinct states in an accounting console.","docs/PRD.md (CA-reviewed, traceable operations); docs/Design.md and docs/UI-UX-Design-Brief.md (dense, accessible operational UI); supplied diagnosis sections 6–10; specific intended behavior stated above"
"KO-UX-006","Viewer sees mutation affordances that server rejects","Clients; Review; Ledger correction; GST; Exports","Medium","Several pages render create/edit/decision/generation forms without evaluating firm.role. Actions independently restrict mutations to owner/admin/staff.","/dashboard/clients/new; /dashboard/clients/[clientId]; /dashboard/review-queue/[transactionId]","src/app/(dashboard)/dashboard/clients/new/page.tsx; src/app/(dashboard)/dashboard/review-queue/[transactionId]/page.tsx; src/app/actions/clients.ts; src/app/actions/review.ts","src/app/(dashboard)/dashboard/clients/new/page.tsx:1; src/app/(dashboard)/dashboard/review-queue/[transactionId]/page.tsx:10; src/app/actions/clients.ts:103; src/app/actions/review.ts:180","CODE_INSPECTED","evidence/source-inventory.json; cited source","Local checkout main @ 59b903f; hosted mutation behavior not exercised","Inspect the cited route/component under the described condition; reproduce with authorized synthetic fixtures before implementation acceptance.","Permission checks exist at the server boundary but are not consistently passed to presentation.","High for source behavior; runtime state not induced","M","Shared or multi-route UI change requiring coordinated states and regression checks.","Disposable owner/admin/staff/viewer membership fixtures. Current live account alone cannot certify role matrix.","Use one role capability contract for visibility/read-only treatment, while retaining independent action and database checks.","Viewer fixtures see readable records and an explicit role explanation; direct denied submissions still fail server-side; authorized roles retain controls.","Source verified; end-to-end mutation/failure-state verification BLOCKED without disposable fixtures.","Several pages render create/edit/decision/generation forms without evaluating firm.role. Actions independently restrict mutations to owner/admin/staff.","Read-only users should understand their access before spending time editing or submitting.","docs/PRD.md (CA-reviewed, traceable operations); docs/Design.md and docs/UI-UX-Design-Brief.md (dense, accessible operational UI); supplied diagnosis sections 6–10; specific intended behavior stated above"
"KO-UX-007","Decision, archive and job actions lack reliable pending/outcome feedback","Review decisions; client archive; Operations","Medium","Plain server-action forms have no pending state. archiveClientAction ignores the RPC error and redirects normally; manual job actions discard worker outcomes and return to the list.","/dashboard/clients/[clientId]; /dashboard/operations; /dashboard/review-queue/[transactionId]","src/app/actions/clients.ts; src/app/actions/operations.ts; src/app/(dashboard)/dashboard/review-queue/[transactionId]/page.tsx","src/app/actions/clients.ts:244; src/app/actions/operations.ts:50; src/app/(dashboard)/dashboard/review-queue/[transactionId]/page.tsx:193","CODE_INSPECTED","evidence/source-inventory.json; cited source","Local checkout main @ 59b903f; hosted mutation behavior not exercised","Inspect the cited route/component under the described condition; reproduce with authorized synthetic fixtures before implementation acceptance.","Mutation results and action status are not represented in the rendered form state.","High for source behavior; runtime state not induced","L","Crosses query/workflow/provenance contracts and requires representative regression fixtures.","Synthetic fixtures and sandboxed WhatsApp/worker side effects; no live action testing.","Add scoped pending controls and safe result feedback; retain form input on error, show confirmation context for archive/reject, and preserve idempotent RPC behavior.","Double clicks cannot start conflicting UI actions; RPC/worker failure yields a visible safe error, no false success; successful action has a clear result.","Source verified; end-to-end mutation/failure-state verification BLOCKED without disposable fixtures.","Plain server-action forms have no pending state. archiveClientAction ignores the RPC error and redirects normally; manual job actions discard worker outcomes and return to the list.","A user must see whether an action is processing, succeeded, failed or was denied.","docs/PRD.md (CA-reviewed, traceable operations); docs/Design.md and docs/UI-UX-Design-Brief.md (dense, accessible operational UI); supplied diagnosis sections 6–10; specific intended behavior stated above"
"KO-UX-008","Queued export completion does not refresh the open screen","Exports","Medium","Export enqueue correctly returns queued status, but the mounted page has no polling, realtime subscription or explicit refresh control to reveal worker completion.","/dashboard/exports","src/app/(dashboard)/dashboard/exports/page.tsx; src/components/export-form.tsx; src/app/actions/exports.ts","src/app/(dashboard)/dashboard/exports/page.tsx:67; src/components/export-form.tsx:4; src/app/actions/exports.ts:112","CODE_INSPECTED","evidence/source-inventory.json; cited source","Local checkout main @ 59b903f; hosted mutation behavior not exercised","Inspect the cited route/component under the described condition; reproduce with authorized synthetic fixtures before implementation acceptance.","Background state changes happen outside the request that rendered history.","High for source behavior; runtime state not induced","M","Shared or multi-route UI change requiring coordinated states and regression checks.","Enqueue/worker state fixtures; preserve private guarded download and role restrictions.","Provide an explicit refresh and consider bounded status polling only while work is active; surface existing Operations recovery destinations.","A synthetic job transitioning queued→completed appears as downloadable without a full manual browser reload; failed state offers a safe next step; polling stops when idle.","Source verified; end-to-end mutation/failure-state verification BLOCKED without disposable fixtures.","Export enqueue correctly returns queued status, but the mounted page has no polling, realtime subscription or explicit refresh control to reveal worker completion.","Queued, processing, failed and downloadable states should remain discoverable without guesswork.","docs/PRD.md (CA-reviewed, traceable operations); docs/Design.md and docs/UI-UX-Design-Brief.md (dense, accessible operational UI); supplied diagnosis sections 6–10; specific intended behavior stated above"
"KO-UX-009","Fixed history limits hide older records without pagination","GST Summary; Reports; Exports; Audit Logs; Operations","Medium","GST list stops at 60, Reports at 50 periods, Exports at 80 history/period options, Audit and Operations at 100 rows; these surfaces lack next-page access.","/dashboard/audit-logs; /dashboard/exports; /dashboard/gst-summary; /dashboard/operations; /dashboard/reports","src/app/(dashboard)/dashboard/gst-summary/page.tsx; src/app/(dashboard)/dashboard/reports/page.tsx; src/app/(dashboard)/dashboard/exports/page.tsx; src/app/(dashboard)/dashboard/audit-logs/page.tsx; src/app/(dashboard)/dashboard/operations/page.tsx","src/app/(dashboard)/dashboard/gst-summary/page.tsx:81; src/app/(dashboard)/dashboard/reports/page.tsx:78; src/app/(dashboard)/dashboard/exports/page.tsx:99; src/app/(dashboard)/dashboard/audit-logs/page.tsx:84; src/app/(dashboard)/dashboard/operations/page.tsx:241","CODE_INSPECTED","evidence/source-inventory.json; cited source","Local checkout main @ 59b903f; hosted mutation behavior not exercised","Inspect the cited route/component under the described condition; reproduce with authorized synthetic fixtures before implementation acceptance.","Response bounds were added without complete result navigation; chooser bounds can prevent selecting old periods.","High for source behavior; runtime state not induced","L","Crosses query/workflow/provenance contracts and requires representative regression fixtures.","Dataset-size evidence and stable cursor/order decision; no invented global totals.","Add stable scoped pagination and explicit recent/loaded counts; use searchable period selectors when needed, preserving query limits.","Boundary+1 fixtures expose the older record and keep filter state; selectors reach old eligible GST periods; no unbounded query is introduced.","Source verified; end-to-end mutation/failure-state verification BLOCKED without disposable fixtures.","GST list stops at 60, Reports at 50 periods, Exports at 80 history/period options, Audit and Operations at 100 rows; these surfaces lack next-page access.","Users must know scope and be able to retrieve relevant historical records.","docs/PRD.md (CA-reviewed, traceable operations); docs/Design.md and docs/UI-UX-Design-Brief.md (dense, accessible operational UI); supplied diagnosis sections 6–10; specific intended behavior stated above"
"KO-UX-010","Success chip text falls below normal-text contrast target","Shared StatusChip; success messages","Medium","Success #168a4a on its 10% white blend computes to 3.88:1 at 12px text. Warning was already darkened and measures 5.10:1 under the same model.","/dashboard/audit-logs; /dashboard/clients; /dashboard/clients/[clientId]; /dashboard/exports; /dashboard/gst-summary; /dashboard/gst-summary/[periodId]; /dashboard/inbox; /dashboard/operations; /dashboard; /dashboard/platform; /dashboard/reports; /dashboard/review-queue; /dashboard/review-queue/[transactionId]; /dashboard/settings; /","src/components/status-chip.tsx; src/app/globals.css","src/components/status-chip.tsx:5; src/app/globals.css:33","CODE_INSPECTED; deterministic contrast arithmetic","evidence/local-diagnostics.json","Local checkout main @ 59b903f; hosted mutation behavior not exercised","Inspect the cited route/component under the described condition; reproduce with authorized synthetic fixtures before implementation acceptance.","The same bright success color supplies both foreground and translucent background.","High for source behavior; runtime state not induced","S","Local component/style or state correction with bounded consumers.","Preserve existing firm/role checks and server action contracts; no production fixtures may be mutated.","Introduce a darker semantic foreground token and retain restrained success background; measure actual nested surfaces and focus states.","Every small chip/success message foreground-background pair meets 4.5:1; status remains understandable without color.","local-diagnostics.json contains formula inputs/results; not a whole-application WCAG certification.","Success #168a4a on its 10% white blend computes to 3.88:1 at 12px text. Warning was already darkened and measures 5.10:1 under the same model.","Small semantic text should meet 4.5:1 on its actual surface and retain a text label.","docs/PRD.md (CA-reviewed, traceable operations); docs/Design.md and docs/UI-UX-Design-Brief.md (dense, accessible operational UI); supplied diagnosis sections 6–10; specific intended behavior stated above"
