"finding_id","status","evidence_ref","notes"
"KO-UX-001","pending","",""
"KO-UX-002","pending","",""
"KO-UX-003","pending","",""
"KO-UX-004","pending","",""
"KO-UX-005","pending","",""
"KO-UX-006","pending","",""
"KO-UX-007","pending","",""
"KO-UX-008","pending","",""
"KO-UX-009","pending","",""
"KO-UX-010","pending","",""
"KO-UX-011","pending","",""
"KO-UX-012","pending","",""
"KO-UX-013","pending","",""
"KO-UX-014","pending","",""
"KO-UX-015","pending","",""
"KO-UX-016","pending","",""
"KO-UX-017","pending","",""
"KO-UX-018","pending","",""
"KO-UX-019","pending","",""
"KO-UX-020","pending","",""
"KO-UX-021","pending","",""
"KO-UX-022","pending","",""
"KO-UX-023","pending","",""
"KO-UX-024","pending","",""
"KO-UX-025","pending","",""
"KO-UX-026","pending","",""
"KO-UX-027","pending","",""
